,Year,quarter,miles_distance,daily_passengers,average_fare,DEP,ARR,ROUTE
415,2012,1,1750,5141,197.84,ORD,LAX,ORDLAX
416,2012,2,1750,5981,231.59,ORD,LAX,ORDLAX
417,2012,3,1750,5946,237.66,ORD,LAX,ORDLAX
418,2012,4,1750,5495,243.9,ORD,LAX,ORDLAX
419,2013,1,1750,4725,233.89,ORD,LAX,ORDLAX
420,2011,3,1197,2755,168.97,ORD,MIA,ORDMIA
421,2011,4,1197,3370,196.23,ORD,MIA,ORDMIA
422,2012,1,1197,3708,207.49,ORD,MIA,ORDMIA
423,2012,2,1197,3338,184.63,ORD,MIA,ORDMIA
424,2012,3,1197,2783,166.27,ORD,MIA,ORDMIA
425,2012,4,1197,3475,196.72,ORD,MIA,ORDMIA
426,2013,1,1197,3868,214.62,ORD,MIA,ORDMIA
427,2011,3,349,2984,145.33,ORD,MSP,ORDMSP
428,2011,4,349,2857,161.0,ORD,MSP,ORDMSP
429,2012,1,349,2440,145.97,ORD,MSP,ORDMSP
430,2012,2,349,2987,149.76,ORD,MSP,ORDMSP
431,2012,3,349,3012,132.4,ORD,MSP,ORDMSP
432,2012,4,349,3042,128.89,ORD,MSP,ORDMSP
433,2013,1,349,2521,135.73,ORD,MSP,ORDMSP
434,2011,3,773,10321,182.35,ORD,JFK,ORDJFK
435,2011,3,773,10321,182.35,ORD,LGA,ORDLGA
436,2011,3,773,10321,182.35,ORD,EWR,ORDEWR
437,2011,4,773,10209,170.98,ORD,JFK,ORDJFK
438,2011,4,773,10209,170.98,ORD,LGA,ORDLGA
439,2011,4,773,10209,170.98,ORD,EWR,ORDEWR
440,2012,1,773,8117,171.04,ORD,JFK,ORDJFK
441,2012,1,773,8117,171.04,ORD,LGA,ORDLGA
