,Year,quarter,Departure,Arrival,miles_distance,daily_passengers,average_fare,DEP,ARR
152,2013,1,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1687,157.68,ATL,MCO
153,2013,2,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1844,150.2,ATL,MCO
154,2013,3,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1347,168.46,ATL,MCO
155,2013,4,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,1732,159.84,ATL,MCO
156,2011,1,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",665,1667,177.21,ATL,PHL
157,2011,2,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",665,2076,192.93,ATL,PHL
158,2011,3,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,2066,174.92,ATL,PHL
159,2011,4,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,1876,191.17,ATL,PHL
160,2012,1,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,1564,209.58,ATL,PHL
161,2012,2,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,2014,182.78,ATL,PHL
162,2012,3,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,1959,170.34,ATL,PHL
163,2012,4,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,1838,186.63,ATL,PHL
164,2013,1,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,1471,206.53,ATL,PHL
165,2013,2,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,1847,216.97,ATL,PHL
166,2013,3,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,1454,246.26,ATL,PHL
167,2013,4,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,1979,206.41,ATL,PHL
168,2011,1,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,994,225.47,ATL,PHX
169,2011,2,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,1005,209.54,ATL,PHX
170,2011,3,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,863,190.23,ATL,PHX
171,2011,4,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,973,215.89,ATL,PHX
172,2012,1,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,935,221.41,ATL,PHX
173,2012,2,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,1055,205.58,ATL,PHX
174,2012,3,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,842,193.78,ATL,PHX
175,2012,4,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,1025,216.89,ATL,PHX
176,2013,1,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,901,235.26,ATL,PHX
177,2013,2,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,978,244.46,ATL,PHX
178,2013,3,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,737,260.19,ATL,PHX
179,2013,4,"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",1587,972,257.09,ATL,PHX
180,2011,1,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1215,269.94,ATL,SFO
181,2011,2,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1731,274.23,ATL,SFO
182,2011,3,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1677,275.6,ATL,SFO
183,2011,4,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1581,286.55,ATL,SFO
184,2012,1,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1313,289.93,ATL,SFO
185,2012,2,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1674,301.21,ATL,SFO
186,2012,3,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1767,276.76,ATL,SFO
187,2012,4,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1831,271.31,ATL,SFO
188,2013,1,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1427,295.07,ATL,SFO
189,2013,2,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1840,308.49,ATL,SFO
190,2013,3,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1776,321.7,ATL,SFO
191,2013,4,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2139,1746,321.5,ATL,SFO
192,2011,1,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,656,277.33,ATL,SEA
193,2011,2,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,1047,276.91,ATL,SEA
194,2011,3,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,1136,261.18,ATL,SEA
195,2011,4,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,804,282.92,ATL,SEA
196,2012,1,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,626,310.19,ATL,SEA
197,2012,2,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,1030,276.3,ATL,SEA
198,2012,3,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,1169,273.22,ATL,SEA
199,2012,4,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,846,291.29,ATL,SEA
200,2013,1,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,701,294.75,ATL,SEA
201,2013,2,"Atlanta, GA (Metropolitan Area)","Seattle, WA",2182,998,286.58,ATL,SEA
