,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,AIR_TIME_MEAN
266,MIA,"Miami, FL",LAS,"Las Vegas, NV",12565.64
267,MIA,"Miami, FL",LAX,"Los Angeles, CA",11802.93
268,MIA,"Miami, FL",LGA,"New York, NY",11949.1
269,MIA,"Miami, FL",MCO,"Orlando, FL",1715.12
270,MIA,"Miami, FL",MIA,"Miami, FL",53.59
271,MIA,"Miami, FL",MSP,"Minneapolis, MN",3379.48
272,MIA,"Miami, FL",ORD,"Chicago, IL",6671.14
273,MIA,"Miami, FL",PHL,"Philadelphia, PA",5642.59
274,MIA,"Miami, FL",PHX,"Phoenix, AZ",8044.17
275,MIA,"Miami, FL",SEA,"Seattle, WA",10988.75
276,MIA,"Miami, FL",SFO,"San Francisco, CA",15742.7
277,MSP,"Minneapolis, MN",ATL,"Atlanta, GA",4729.31
278,MSP,"Minneapolis, MN",BOS,"Boston, MA",3192.16
279,MSP,"Minneapolis, MN",CLT,"Charlotte, NC",2784.03
280,MSP,"Minneapolis, MN",DEN,"Denver, CO",3032.81
281,MSP,"Minneapolis, MN",DFW,"Dallas/Fort Worth, TX",3817.69
282,MSP,"Minneapolis, MN",DTW,"Detroit, MI",1632.62
283,MSP,"Minneapolis, MN",EWR,"Newark, NJ",4697.3
284,MSP,"Minneapolis, MN",IAH,"Houston, TX",3098.06
285,MSP,"Minneapolis, MN",JFK,"New York, NY",2906.55
286,MSP,"Minneapolis, MN",LAS,"Las Vegas, NV",5438.25
287,MSP,"Minneapolis, MN",LAX,"Los Angeles, CA",5650.52
288,MSP,"Minneapolis, MN",LGA,"New York, NY",5842.31
289,MSP,"Minneapolis, MN",MCO,"Orlando, FL",3580.48
290,MSP,"Minneapolis, MN",MIA,"Miami, FL",3098.02
291,MSP,"Minneapolis, MN",MSP,"Minneapolis, MN",41.25
292,MSP,"Minneapolis, MN",ORD,"Chicago, IL",2003.07
293,MSP,"Minneapolis, MN",PHL,"Philadelphia, PA",2550.0
294,MSP,"Minneapolis, MN",PHX,"Phoenix, AZ",5076.57
295,MSP,"Minneapolis, MN",SEA,"Seattle, WA",4748.17
296,MSP,"Minneapolis, MN",SFO,"San Francisco, CA",5075.28
297,ORD,"Chicago, IL",ATL,"Atlanta, GA",3267.48
298,ORD,"Chicago, IL",BOS,"Boston, MA",6996.32
299,ORD,"Chicago, IL",CLT,"Charlotte, NC",3580.67
300,ORD,"Chicago, IL",DEN,"Denver, CO",5029.58
301,ORD,"Chicago, IL",DFW,"Dallas/Fort Worth, TX",7560.62
302,ORD,"Chicago, IL",DTW,"Detroit, MI",1156.05
303,ORD,"Chicago, IL",EWR,"Newark, NJ",3759.2
304,ORD,"Chicago, IL",IAH,"Houston, TX",6127.69
305,ORD,"Chicago, IL",JFK,"New York, NY",2009.54
